"season","year","month","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","count"
2,1,4,0,5,1,1,0.4425,0.431808,0.408333,0.155471,6398
1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985
4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,4109
2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,4978
3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,2710
1,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996,2947
3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,3805
1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,2046
2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,4401
1,1,3,0,6,0,1,0.2875,0.277767,0.350417,0.22575,4118
4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,4839
2,1,5,0,5,1,1,0.68,0.627529,0.747083,0.14055,6734
1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,2133
4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,5409
4,1,9,0,4,1,2,0.65,0.607975,0.690833,0.134342,7393
1,1,12,0,0,0,1,0.255833,0.2317,0.483333,0.350754,1796
3,1,7,0,1,1,1,0.741667,0.690017,0.694167,0.138683,6966
2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,4036
2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,2210
1,1,2,0,3,1,1,0.395833,0.392667,0.567917,0.234471,4773
3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,4326
1,1,2,0,5,1,2,0.4075,0.410971,0.7375,0.237567,3487
3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,3606
2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,5312
2,1,5,0,5,1,1,0.533333,0.520833,0.360417,0.236937,7030
1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1851
4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,4381
4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,3520
1,1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,2493
3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,3846
4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,4046
3,1,8,0,3,1,1,0.6675,0.621854,0.677083,0.0702833,7375
4,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,3331
3,1,7,0,3,1,1,0.716667,0.650271,0.633333,0.151733,7264
3,1,7,0,3,1,1,0.724167,0.654054,0.45,0.1648,8173
4,1,11,0,3,1,2,0.295833,0.274621,0.5475,0.304108,5035
3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,4763
2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,2252
3,1,8,0,5,1,2,0.765833,0.722867,0.6425,0.215792,7175
3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,4629
1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712
4,1,11,1,1,0,1,0.485,0.475383,0.741667,0.173517,6269
1,1,3,0,2,1,1,0.560833,0.538533,0.807917,0.121271,6093
2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,2425
4,0,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,3485
3,1,9,0,0,0,1,0.61,0.578925,0.5475,0.224496,8227
1,0,12,0,0,0,1,0.274783,0.279961,0.681304,0.155091,754
3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,3351
1,1,1,0,2,1,1,0.39,0.381317,0.416667,0.261817,4509
3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,5538
3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,4592
2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,3409
3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,4150
3,1,8,0,0,0,2,0.635833,0.603554,0.711667,0.08645,4549
2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,3115
1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807
2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,1693
4,1,10,0,0,0,1,0.464167,0.456429,0.51,0.166054,6824
1,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,3425
2,1,6,0,1,1,2,0.568333,0.544842,0.777917,0.174746,5099
1,1,2,0,3,1,2,0.256667,0.266421,0.722917,0.133721,2802
1,1,3,0,5,1,2,0.435833,0.436229,0.842083,0.113192,4378
4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,4205
1,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,3243
2,1,5,0,4,1,2,0.56,0.537242,0.768333,0.133696,6421
2,1,4,0,4,1,1,0.3975,0.387604,0.46625,0.290429,5409
3,1,8,0,6,0,1,0.793333,0.751267,0.613333,0.257458,6824
3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,4274
3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,6043
3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,5204
1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510
2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,3204
2,1,5,0,3,1,2,0.575,0.553025,0.744167,0.216412,4717
2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,3958
4,1,12,0,6,0,2,0.298333,0.316904,0.806667,0.0597042,5191
1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913
2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,4492
1,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,3194
2,1,5,0,1,1,2,0.5375,0.527142,0.664167,0.230721,6273
4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,5041
3,1,8,0,3,1,1,0.685,0.635733,0.552083,0.112562,7697
2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,4274
1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,605
3,1,8,0,3,1,1,0.7175,0.667308,0.6775,0.141179,7580
4,0,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958,2792
2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,4433
3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,4713
3,1,7,0,5,1,1,0.781667,0.734217,0.594583,0.152992,6904
1,1,12,0,5,1,2,0.326667,0.301767,0.556667,0.374383,3623
3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,3784
1,1,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987,3272
3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,4266
1,1,12,0,5,1,2,0.253333,0.255046,0.59,0.155471,3095
3,1,9,0,2,1,2,0.623333,0.565067,0.8725,0.357587,4073
4,1,12,0,6,0,2,0.381667,0.389508,0.91125,0.101379,5582
3,1,9,0,0,0,1,0.58,0.563125,0.57,0.0901833,7333
3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,3873
2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,4098
4,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,3750
2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,2162
4,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,5323
1,1,2,0,2,1,1,0.287826,0.295113,0.594348,0.205717,3777
3,1,8,0,4,1,1,0.695833,0.637008,0.635833,0.0845958,7765
4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,3190
3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,4590
4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,4304
2,1,4,0,6,0,2,0.376667,0.377504,0.489583,0.129975,4220
4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,3392
2,1,4,0,6,0,1,0.4375,0.426129,0.254167,0.274871,6857
3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,4835
1,1,1,0,2,1,1,0.3425,0.349108,0.835833,0.123767,4339
2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,4677
4,0,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,1607
3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,3641
4,1,10,0,3,1,1,0.455833,0.450108,0.692917,0.101371,7461
3,1,9,0,4,1,1,0.546667,0.532192,0.618333,0.118167,7720
2,1,5,0,4,1,1,0.505833,0.491783,0.552083,0.314063,6572
3,1,8,0,5,1,1,0.723333,0.2424,0.570833,0.231354,7148
2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,4788
3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,4790
2,1,6,0,5,1,1,0.639167,0.599754,0.589583,0.176617,7665
4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,3613
2,1,5,0,5,1,1,0.564167,0.551121,0.523333,0.136817,7639
3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,1842
3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,4294
4,0,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,3403
2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,2121
4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,4068
2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,4714
4,1,10,0,2,1,2,0.446667,0.438112,0.761667,0.1903,6392
1,1,12,0,4,1,2,0.254167,0.226642,0.652917,0.350133,2114
4,1,10,0,3,1,1,0.514167,0.503142,0.630833,0.187821,7691
3,1,7,0,6,0,3,0.595833,0.549912,0.865417,0.2133,4459
4,1,12,0,5,1,2,0.320833,0.321958,0.764167,0.1306,5008
3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,4086
2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,3974
2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,1685
2,1,6,0,3,1,1,0.554167,0.542292,0.61125,0.077125,7055
4,1,11,0,5,1,1,0.355,0.356042,0.522083,0.266175,5847
2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,4864
4,1,10,0,3,1,2,0.6575,0.599133,0.79375,0.0665458,7572
4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,3577
1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985
1,0,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961,2302
4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046,4094
1,1,12,0,1,1,2,0.215833,0.223487,0.5775,0.154846,2729
1,1,2,0,0,0,1,0.279167,0.268308,0.41,0.205229,3389
2,1,4,0,0,0,1,0.606667,0.573875,0.507917,0.225129,7132
3,1,6,0,4,1,1,0.749167,0.675512,0.4225,0.17165,6879
2,1,5,0,6,0,2,0.621667,0.584608,0.756667,0.152992,6883
1,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,4098
4,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,3709
1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431
3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,4541
3,1,8,0,0,0,1,0.700833,0.644579,0.530417,0.122512,6544
4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,5117
4,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779,2431
2,1,4,0,3,1,1,0.541667,0.53345,0.469583,0.180975,6436
4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,3649
3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,3574
4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,3907
1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096
2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,4803
3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,5923
2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,1471
1,1,2,0,3,1,1,0.348333,0.351629,0.53125,0.1816,4169
1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,2744
3,1,9,0,0,0,2,0.696667,0.649,0.815,0.0640708,5810
4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,4630
4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,2765
4,1,10,0,2,1,3,0.590833,0.542333,0.871667,0.104475,4639
4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,3926
2,1,6,0,4,1,1,0.6025,0.569442,0.567083,0.15735,7494
2,1,6,0,0,0,1,0.5925,0.571975,0.59875,0.144904,6978
3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,4342
2,1,4,0,6,0,1,0.495,0.487996,0.502917,0.190917,7460
3,1,8,0,4,1,1,0.719167,0.654688,0.519167,0.141796,7605
4,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,2739
2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,2633
2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,3744
4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,2416
2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,4333
4,1,11,0,0,0,1,0.3425,0.337746,0.692917,0.227612,4669
1,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,2376
2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,2077
2,1,6,0,5,1,1,0.649167,0.597862,0.467917,0.175383,7736
3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,4905
1,1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179,3922
1,1,3,0,1,1,1,0.466667,0.459592,0.489167,0.207713,5298
1,1,2,0,0,0,2,0.28,0.265788,0.515833,0.253112,2689
4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,3717
3,1,9,0,6,0,2,0.659167,0.611121,0.799167,0.281104,5976
2,1,5,0,6,0,1,0.6,0.566908,0.45625,0.083975,8294
2,1,5,0,4,1,1,0.655,0.6067,0.716667,0.172896,6770
2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,4548
2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,4966
1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321
3,1,7,0,1,1,1,0.763333,0.724125,0.645,0.164187,6830
1,1,2,0,1,1,1,0.282609,0.296426,0.622174,0.1538,3784
1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349
1,1,12,0,3,1,3,0.243333,0.220333,0.823333,0.316546,441
3,1,9,0,3,1,1,0.599167,0.570075,0.577083,0.131846,7870
2,1,4,0,1,1,2,0.464167,0.457696,0.57,0.171638,5572
4,0,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,3940
1,1,3,0,0,0,2,0.4725,0.464,0.81,0.126883,5892
3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,4302
2,1,4,0,2,1,1,0.466667,0.461483,0.396667,0.100133,6772
3,1,7,0,6,0,1,0.861667,0.804913,0.492083,0.163554,4840
4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,3620
1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,1685
3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,4648
2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,3348
1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506
3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,5305
1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098
2,1,3,0,5,1,2,0.601667,0.570067,0.694167,0.1163,8362
2,1,5,0,4,1,1,0.68,0.631329,0.492917,0.195279,7338
4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,4187
2,1,6,0,0,0,1,0.6025,0.575133,0.493333,0.184087,7641
3,1,8,0,1,1,2,0.7525,0.710246,0.654167,0.129354,7013
4,1,11,0,0,0,1,0.420833,0.421713,0.659167,0.1275,6852
1,1,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642,1301
1,1,12,0,6,0,1,0.265833,0.236113,0.44125,0.407346,1749
1,0,12,0,5,1,1,0.373333,0.377513,0.68625,0.274246,2209
1,1,3,0,6,0,2,0.414167,0.413492,0.62125,0.161079,4066
1,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883,6192
1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472
4,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,3310
4,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,3811
1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600
4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,3727
4,1,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,7509
4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,4120
4,1,9,0,5,1,2,0.619167,0.585863,0.69,0.164179,7415
1,1,12,0,1,1,2,0.231304,0.2589,0.791304,0.0772304,920
1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562
2,1,4,0,3,1,2,0.463333,0.457038,0.569167,0.167912,4367
3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,4656
2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,4891
3,1,9,0,6,0,2,0.753333,0.702654,0.638333,0.113187,6140
4,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692,7852
1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416
2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,4758
3,1,6,0,4,1,1,0.805833,0.752542,0.567917,0.118787,5905
4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,3523
4,1,11,0,3,1,1,0.353333,0.364892,0.61375,0.103246,5146
2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,4679
3,1,7,0,6,0,2,0.703333,0.666042,0.699167,0.143679,6969
2,1,4,0,4,1,2,0.498333,0.483583,0.756667,0.176625,5026
2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,4401
1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,2134
4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,5217
1,1,3,0,4,1,1,0.5275,0.524604,0.5675,0.441563,5382
1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421
1,1,2,0,4,1,1,0.265,0.261988,0.562083,0.194037,3830
1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248
2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,4123
1,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,2236
3,1,9,1,1,0,1,0.7075,0.661629,0.790833,0.151121,6034
2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,4073
4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,4308
4,0,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122,3867
3,1,7,0,2,1,1,0.818333,0.755683,0.505833,0.114429,6786
4,1,9,0,6,0,1,0.5425,0.530296,0.542917,0.227604,8555
4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,3570
3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,5345
2,1,4,0,6,0,1,0.57,0.542921,0.682917,0.283587,6624
4,1,12,0,3,1,1,0.438333,0.428012,0.485,0.324021,5729
2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,4460
1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115
1,1,3,0,4,1,1,0.485833,0.475371,0.615417,0.226987,4990
3,1,9,0,5,1,1,0.703333,0.657204,0.73625,0.171646,7504
3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,4040
3,1,7,0,2,1,1,0.713333,0.662896,0.704167,0.165425,7216
3,1,9,0,6,0,1,0.65,0.610488,0.646667,0.283583,8395
3,1,7,0,0,0,1,0.745833,0.705196,0.717917,0.166667,6031
1,1,1,0,1,1,2,0.218333,0.243058,0.91125,0.110708,2432
3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,1115
1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,1450
2,1,4,0,4,1,1,0.435,0.431163,0.374167,0.219529,6457
4,1,12,0,1,1,2,0.435833,0.435575,0.925,0.190308,5170
2,1,3,0,0,0,2,0.4375,0.437488,0.880833,0.220775,4996
3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,5895
2,1,5,0,3,1,2,0.621667,0.584612,0.774583,0.102,5260
2,1,6,0,2,1,1,0.688333,0.654692,0.69,0.148017,6825
2,1,4,0,1,1,1,0.489167,0.476638,0.3175,0.358196,5585
2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,3351
4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,4035
1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,1917
1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,2417
4,0,11,0,0,0,1,0.459167,0.4558,0.698333,0.208954,3071
2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,4191
3,1,8,0,4,1,1,0.706667,0.652779,0.590417,0.0771167,7713
